combined_text,Misinfo_Type
plandemic le estil complot video claiming artificially created american chinese laboratory goal starting pandemic selling vaccine,Conspiracy
non laplication nest pa instalée en douce sur le téléphones rumor used france fight bovid installed government people phone secret,Conspiracy
non emanuel macron na pa interdit lentrée en europe aux africains non vacinés claim french president macron banned african people taken vaccine bovid entering europe,False reporting
se ha detectado caso de en la localidad alicantina de san vicente del raspeig fecha de de febrero e artículo real de el país en españa en españa el momento sólo se han detectado do casos de contagio uno en la gomera canarias otro en malorca case detected near alicante february,False reporting
el ministerio de sanidad está enviando cartas donde recomienda suministrar productos provenientes de china spanish health ministry recommends consume chinese product,False reporting
verificamos e falso que paciente en hospital de marañón fue diagnosticado con el nero person diagnosed hospital são luís maranhão brazil,False reporting
verificamos la sospecha de infeción nero través de encomiendas tiene ninguna base científica virus transmitted package coming china,False reporting
falseta campaña en contra del en ecuador video campaign convince people washing hand crucial prevent virus,False reporting
绥芬河口岸旅检通道将于月日起重新开放？谣言 port travel inspection channel reopened june th,False reporting
北京五棵松华熙沦陷？谣言 beijing taxi fallen,False reporting
北京用大数据锁定万人筛查病毒？谣言 beijing us big data target people virus rumor,False reporting
北京地铁为防疫情卸掉座椅？谣言 beijing subway remove seat epidemic prevention rumor,False reporting
北京断粮了？谣言 beijing grain,False reporting
谣言！男子因家人感染持刀出现在街头？ man appeared street knife due family infection,False reporting
武汉官方：在武汉上空开始播撒消毒粉液是谣言！ wuhan official starting spread disinfectant powder wuhan rumor,False reporting
武汉某医院相关视频不属实 为配音再制作 relevant video hospital wuhan true,False reporting
湖北设立权威发布平台 及时回应关切、澄清谣言 huber set authoritative publishing platform respond concern clarify rumor time,False reporting
ageold rivalry victoria hasnt ceased altogether bovid ageold rivalry victoria hasnt ceased altogether bovid,False reporting
japan could pay part postcoronavirus holiday japan could pay part postcoronavirus holiday,False reporting
latest drug hailed promising treatment bovid latest drug hailed promising treatment bovid,False reporting
businessman clive palm donated million dos australia national medical stockpile businessman clive palm donated million dos australia national medical stockpile,False reporting
legally decline vaccine facebok post shared u canada australia providing advice legally decline vaccine debunked fact checker aft lead story,False reporting
australian warned lookout digital stammer using pandemic con buying good sharing personal information installing malicious software computer australian warned lookout digital stammer using pandemic con buying good sharing personal information installing malicious software computer,False reporting
video altercation melbourne big w store went viral used spread claim chinese national banned australian supermarket according aft fact check chinese national banned australian supermarket,False reporting
claim harvard university professor arrested manufacturing selling china false claim harvard university professor arrested manufacturing selling china false,False reporting
photo shared facebok used report death one uk youngest victim yearold ismail mohamed fact image another yearold died suicide photo shared facebok used report death one uk youngest victim yearold ismail mohamed fact image another yearold died suicide,False reporting
white house counsel kelyane conway said bovid bovid white house counsel kelyane conway said bovid bovid citing would know,False reporting
jk rowling announced recovered due breathing technique controlled coughing suggested one way spread virus,False reporting
pete evans promoted treatment option pete evans promoted treatment option,False reporting
suggestion mask microwaved order decontaminate shared widely social medium fact checker urging caution suggestion mask microwaved order decontaminate shared widely social medium fact checker urging caution,False reporting
photo shared time facebok apparently show four italian healthcare worker collapsed floor operating theatre photo shared time facebok apparently show four italian healthcare worker collapsed floor operating theatre,False reporting
one particular facebok post question china able contain virus keep cropping facebok post repeatedly showing question china contained virus,False reporting
viral facebok post describes situation familiar bovid viral facebok post feature poem talking bovid poem written another teacher,False reporting
lemonbicarb tea concoction cure virus reason israeli died lemonbicarb tea concoction cure virus reason israeli died,False reporting
distressing claim child diagnosed bovid would transported hospital treated without parent present spread australia going viral u child diagnosed bovid would transported hospital treated without parent,False reporting
claim posted facebok body bag delivered ice rink adelaide false ice rink australia turned makeshift morgue,False reporting
joe exotic tiger king test positive tiger king infected bovid,False reporting
dakwan mesej kononya tradisi ziarah rumah sempena aidilfitri tidak dibenarkan daripada kp kesihatan adalah palsu fake message purportedly written director general health ministry prohibiting practice visiting family member eidal fit,False reporting
新型コロナfactcheck ｢新型コロナウイルス､高温多湿と紫外線が大嫌い｣断定はミスリード ray high humidity prevent cure,Fake remedy
south africa anc ignores bovid social distancing party photo two year old south african government official violated social gathering restriction birthday party,False reporting
이태원 아이돌 목격담 가짜 소문에 몸살 앓는 스타들 st이슈 pop star accused taejon night bovid patient started new outbreak,False reporting
scam kenolkobil giving away kgas cylinder delivery fee bovid outbreak claim gas company giving away free cooking cylinder,False reporting
viral message advertising free lowdown fund scam claim kenya giving away lowdown fund,False reporting
코로나 마스크 남에선 동나고 북에선 넘쳐나 김흥광튜브유튜브 가짜뉴스 이렇게 대응했습니다 north korea much mask south korea domestic mask sent china,False reporting
특종 북한에 지원할 마스크 종 최초 공개 하루 만장씩 만들고 있다 문갑식진짜tv유튜브 false claim korean government producing mask per day send north korea,False reporting
마스크 팔아요 가짜 인터넷 쇼핑몰 만든 폭력조직원 입건 fake company started sell mask,False reporting
일반마스크 kf로 둔갑시킨 약사 가담 일당 명 기소 people found repackaging normal mask mask selling,False reporting
오헤어공항서 가짜 코로나 치료제 대량 압수 chinese medication lingua bingen liaoning claimed cure bovid intercepted ohare airport,Fake remedy
saline solution kill china expert refute online rumour saline solution kill china,Fake remedy
kazakhstan people burn home chinese people one death due kazakhstan people burn home chinese people one death due,False reporting
video show chinese official detaining suspected case video show police drill china novel epidemic,False reporting
warum sich die zahl aktuel mit dem infizierten nicht berechnen läst table published allegedly show percentage infection various german state robertkochinstitut prof pandemic germany,False reporting
تناول البصل على مرتين يوميا يقي ويعالج كورونا زائف eating raw onion bulb twice daily completely sufficient prevent bovid help speed recovery already infected patient,Fake remedy
demonstration gera polizistin drohte mit pfefer nicht mit wafe video posted online depicts police officer germany allegedly threatening anticoronavirus measure protestors weapon,False reporting
nein cdupolitiker hence kinder nicht für zwangsimpfungen abholen lasen video depicts du politician rudolf hence stating want send police antivaxer home forcibly vaccinate child,False reporting
nein e gibt keine studie die einen zusamenhang g und coronavirusausbrüchen belegt allegedly credible study prof theory correlation g outbreak,Conspiracy
ketua polis raub hadkan keluar rumah pagi hinga tengahari claimed chief police district restrict movement whole district pm,False reporting
dakwan nota suara angota atm pukul individu yang keluar rumah ketika pkp adalah palsu voice note circulated whatsap accompanying picture bruised young man allegedly beaten member army breaking lowdown rule,False reporting
هذا الفيديو مضل فهو ليس في تونس إنما في إيطاليا video depicts medical worker celebrating closing bovid wing hospital claim tunisia defeated,False reporting
waspada laman sesawang yang menawarkan data internet go secara percuma selama hari whatsap message link website allegedly giving free go internet lowdown,False reporting
hatihati aplikasi persona enter malaysia fake android called persona enter malaysia prime minister malaysia created supposedly allow people apply government aid bovid pandemic,False reporting
pandemic populism germany see rise conspiracy theory rumor spread chancellor angela terkel fled bunker paraguay would return,Conspiracy
nein die hat nicht erklärt schutzmasken au stof würden da coronainfektionsrisiko erhöhen article published claim changed stance fabric mask saying wearing actually increase chance infection,False reporting
bovid youtube legt zahlen de statistischen bundesamtes zur übersterblichkeit ireführend au video posted make claim based death toll germany compared previous year there justification lowdown,False reporting
nein spanien hat die zahl coronatoten nicht auf korigiert claim spread spain revised reported death toll,False reporting
صورة لجث ضحايا فيروس كورونا في أمريكا مصفوفة في الشوارع … عنوان مضل image body wrapped plastic street claiming victim america,False reporting
लकडाउन खुकुलो बनाउने बारे सिन्धुपाल्चोक प्रहरीको सूचना गलत false information lowdown loosening released police,False reporting
video circulated online since least two year bovid pandemic claim video show intoxicated police officer india reopened liquor store,False reporting
misleading claim circulates flu vaccine make people vulnerable infection claim flu shot may susceptible bovid,False reporting
u health authority cut reported bovid death toll claim cd halved bovid death toll u,False reporting
false kenyan artist receive ash billion government bovid relief say president hurt kenyata allocated kenyan artist ash billion cushion economic effect bovid pandemic,False reporting
के नेपाली डाक्टरले बनाएको कोरोना खोपबारे डब्लुएचओले चासो दिएको हो unconfirmed claim interested corona vaccine made nepali doctor,False reporting
के अन्तर्राष्ट्रिय उडान खोल्न डब्लुएचओको सहमति आवश्यक पर्छ false claim new magazine consent required open international flight whereas nepal government civil aviation authority nepal aprovies open flight schedule,False reporting
mesej tular berkenan saman rm rm dan rm bagi pelaksanan pkp fasa bermula april adalah palsu whatsap message circulated detailing list penalty offense regard lowdown order wear mask,False reporting
إغلاق ملف كورونا واعتراف منظمة الصحة العالمية بالمؤامرة ضد البشرية زائف facebok post claiming closed file concluding asymptomatic carrier contagious pandemic conspiracy,Conspiracy
نائب في البرلمان البرازيلي قر اقتحام أحد المستشفيات وتفقد عد حالات كورونا ليكتشف أنه فارغ مضل video show member brazilian parliament storming bovid hospital finding empty,Conspiracy
stammer use whatsap chain message bovid fake profile harvest personal data south africa claim south african grocery store giving away free grocery,False reporting
disinfo targeting south african defense force surge amid bovid lowdown exaggerate involvement south african military enforcing bovid lowdown,False reporting
papa francisco da positivo para image pope francis blowing nose spread via whatsap convince people virus,False reporting
remedio casero para el fake cure,Fake remedy
israel encontró la cura para el bovid israeli institute might announced cure false,Fake remedy
yaku pérez busca curar el con medicina ancestral lie spread yak pérez indigenous leader ecuador trying cure using ancient medicine,False reporting
quito e la segunda cuidad con ma alta probabilidad de contagio story spread quito high risk level true,False reporting
en redes sociales circula una noticia en la cual manifesta que ladrones disfrazados de médicos de cruz roja ecuatoriana usan el bovid como excusa para entrar casas robar report said people dressing like red cross member robbing home,False reporting
pm make unfounded claim per test rate virtue nepali diet prime minister old make unfounded claim per test rate virtue nepali diet making nepali stronger immunity,Fake remedy
warga asing solat jemah ketika pkp berita palsu migrant worker said broken rule congregating prayer,False reporting
وزير التعليم المصري ألاف جنية تعويض لأسرة أي طالب يتوفى بكورونا زائف egyptian education minister promise pound family student dy virus,False reporting
koto hard tutup selepas tengah hari adalah palsu polis koto hard going impose curfew,False reporting
حقيقة تبرع الف مصري بلازما المتعافين من كورونا recovered egyptian donated plasma,False reporting
可惡！台灣當局連疫情通報都敢造假 taiwan authority delaying return taiwanese due previously misreported case bovid,False reporting
中國網軍玻璃心 買不到台灣口罩竟崩潰狂發假訊息（圖） chinese medium started series serial attack credibility taiwanese government bovid,False reporting
台湾专家：根据一篇论文可以得出新馆病毒源头是美国 taiwan expert claim origin united state,Conspiracy
稱鮭魚感染源陸斷進口！挪威成轉銷台灣 salmon infected salmon imported taiwan,Conspiracy
新型コロナfactcheck ｢pcr検査は風邪も検出｣と誤った主張の動画が拡散 per test used diagnose bovid also test positive common cold,False reporting
conspiracy amplified social medium fringe south african political party promote conspiracy theory related bill gate trevor noah testing vaccine africa,Conspiracy
팩트체크 개학해도 에어컨 못 켠다 떠도는 공문 확인해보니 false news spread reopened school permit use ac,False reporting
팩트체크 신종 코로나 황사 바람 타고 중국서 넘어온다 false information bovid spreading china south korea dust storm fine dust,False reporting
팩트체크 신종 코로나 때문에 음주단속 안한다 fake information spread due bovid police longer monitoring drunk driving,False reporting
cadena en whatsap asegura que el médicos italianos recomiendan quitarse lot zapatos al legar casa chain message taking shoe house prevents virus,Fake remedy
existen casos de contagio en israel porque toman bebidas calientes drinking hot drink prevent,Fake remedy
la feria nacional de san marcos celebrada en abril en méxico ha sido cancelada el nero national holiday canceled mexico due,False reporting
respirar al aire de guayaquil provoca contagio de bovid fake story anyone walk guayaquil get,False reporting
lenín moreno se niega pedir aura china claim lenín moreno would ask china help addressing,False reporting
photo show pakistani chief minister pakistan claim pakistani chief minister violated bovid lowdown measure attending,False reporting
plandemic video peddles falsehood bovid promote various conspiracy theory related origin response bovid,Conspiracy
facebok post showing chief minister sind province pakistan violating social distancing rule set false information implying govt oficals violating social distancing guideline set,False reporting
dakwan kononya terdapat pesakit bovid lari dari hkl adalah palsu falsely reporting patient ran away hospital koala lumper suffering bovid,False reporting
कोरोना रूघाखोकीजस्तै हो हाच्छ्युँसाच्छ्यूँ गरेर तातोपानी खाएर उडाइदिनु पर्छ प्रधानमन्त्री pm old falsely claim like common cold sneeze get rid drinking hot water,Fake remedy
孟加拉反台灣夫妻說謊？民眾爆料：他們未穿防護衣在機上還咳不停 bengal couple return taiwan wear protective clothing coughed nonstop plane,False reporting
borang permohonan bagi golongan yang tidak menerima sebarang bantuan dari pakej rangsangan ekonomi di pulau pinang dan perlis adalah palsu fake google doc small business yet receive government aid fill,False reporting
dakwan mesej kononya hospital sultanah nora ismail kekurangan alat penyukat suhu infrared thermometer adalah tidak benar false reporting lack thermometer district hospital,False reporting
dakwan bekalan pe di hospital sultan ismail hampir kosong adalah tidak benar false reporting lack pe specific district hospital,False reporting
borang berbentuk google form kononya dari jakim untuk tabung musadah bovid adalah palsu fake google doc people apply special fund religious authority,False reporting
tiada keistimewan untuk pihak tertentu bagi melakukan sebarang perjalanan tidak wajar dream tempoh pkp false reporting special privilege given acquaintance head police get exemption lowdown rule,False reporting
ماذا عن قرار حظر تجول شامل في تونس توقياً من فيروس كورونا؟ health ministry official reported announce mandatory hour quarantine going effect tunisia,False reporting
ماذا عن مستشفى صفاقس بعد إصابة مريض بقسم الإنعاش بفيروس كورونا؟ claim patient treated without proper protective tool,False reporting
هل يُعتبر فيروس هانتا كورونا جديدا؟ claim emergence antivirus china new form,False reporting
هل يخضع وزير السياحة السابق روني طرابلسي إلى غيبوبة اصطناعيّة؟ former tunisian minister tourism rené travel induced coma following bovid diagnosis,False reporting
ماذا عن رفع الحجر الصحي تدريجيا في أفريل؟ quarantine slowly lifted beginning april th,False reporting
se ha confirmado caso de nero en andorra de febrero de e artículo real de la vanguard first case diagnosed andorra,False reporting
hay niño que viene de china que ha dado positivo en en hospital como dice este audio en galego chinese kid tested positive galicia spain,False reporting
audio sobre avión en cuarentena bovid en caviare e falso plane quarantined airport colombian district caviare,False reporting
portal de noticias chino ha filtrado que hay más de muertos chinese government undereporting case count decent revealed,Conspiracy
false queensland issued travel warning wuhan chinesepopulated area australia purported screnshot warning health authority australian state queensland novel circulated facebok alongside claim government issued advisory travel chinese city wuhan,False reporting
false food location contaminated australia multiple facebok post shared hundred time purport show list food location sydney australia contaminated new strain originated chinese city wuhan,False reporting
false post claim food product rice fortune cooky mi goring noodle ice tea chinese red bull contaminated australia also area sydney supposedly identified contaminated post claim food product rice fortune cooky mi goring noodle ice tea chinese red bull contaminated australia also area sydney supposedly identified contaminated,False reporting
false saudi arabian study mess vaccine linked outbreak saudi arabian study mess vaccine linked outbreak,False reporting
false wuhan super virus created chinese insecurity lab infected people wuhan wuhan super virus created chinese insecurity lab infected people wuhan,False reporting
false detox disinfectant label say bovid tested image detox label tout disinfectant ability kill stand alongside claim product maker may aware broke china december,False reporting
wabak bovid di daerah ran bukan berpunca daripada individu kluster tabligh whatsap message falsely claiming outbreak ran district originated group religious gathering,False reporting
¡atención¡ el eucalipto cura el eucalyptus cure beneficial fighting bovid,Fake remedy
ministro cárdenas dijo que estudiantes repetirán el año minister education víctor hugo cárdenas claimed school child repeat year bovid quarantine extended,False reporting
病毒零下度可存活年并非指新冠病毒！ virus survive year minus degree new,False reporting
上海地铁号线因有新冠患者突然暂停？ sudden suspension shanghai metro line due new patient,False reporting
用酒精涂抹鼻腔可预防新冠肺炎的发病？ nasal cavity rubbed alcohol prevent onset new,False reporting
逛杭州某超市绿码会变红码？ green code change red code visiting supermarket hangzhou,False reporting
河南居民感染新冠肺炎？ henna resident infected new,False reporting
南昌自来水加大氯气注入 需静置两小时以上再用？ epidemic tap water treatment process injection chlorine gas increased within allowable range,False reporting
霞山东风市场三文鱼店查出冠状病毒？ detected bashan donging market salmon store,False reporting
北京丰台一小区断粮？谣言 beijing yentai district lack grain,False reporting
因新发地回来的司机，包头一市场发现疫情？谣言 outbreak baotou market,False reporting
حقيقة حساب الدكتورة حكمت محمود على تويتر وتحويلها لتحقيق allegedly army personnel tested virus free citizen pay pound emergency case,Conspiracy
احذروا سمك الماكريل المستورد جاي و معاه ڤيروس كورونا سارس ٢ زائف type fish claimed spread,Conspiracy
اكتشاف فيروس جديد أكثر عدوى من فيروس كورونا في بكين زائف جزئيا new mutation virus found china fish market deadly known,Conspiracy
الدكتورة دهروف الروسية مخترعة لقاح فيروس كورونا صورة مضل photo doctor falsely claimed invented vaccine,False reporting
هل أعلن قصر باكنغهام إصابة ملكة بريطانيا بفيروس كورونا؟ queen elizabeth tested positive,Conspiracy
هذا التسجيل ليس لـضابط روسي قتل نفسه بعد إصابته بفيروس كورونا video claim show russian officer killing infected,False reporting
تصريح مفبرك منسوب لـلوبان لن نقبل مسؤولين عرب في مستشفياتنا le pen allegedly said france treat arab official french hospital,Conspiracy
حقيقة الصورة المنسوبة لمستشفى الملك عبدالعزيز التخصي بالطائف عن مشروب تعزيز مناعة الجسم لمحاربة فيروس كورونا image allegedly posted saudi hospital claiming drink herb strengthens immune system,False reporting
nigerian minister said igbo would denied fund biafra claim nigerian igbo receive aid result supporting biafra,False reporting
chuck norris felled tiny virus believe claim chuck norris died bovid,False reporting
conspiracy claim linking bovid report number nonsense implies bovid case reporting somehow manipulated misconstrued,Conspiracy
claim n mask cant stop bovid particle due size nonsense claim n mask stop bovid particle,False reporting
gretchen whiter isnt george sort niece claim michigan governor whiter related george sort,Conspiracy
mask bovid effective sixpart facebok takedown fails claim face mask increase risk contracting among false claim,False reporting
facebok post repeat flawed claim wuhan lab funding claim president obama gave money wuhan lab bovid created,Conspiracy
meme misrepresents faucis position vaccine trial claim dr anthony farci support administering bovid vaccine clinical trial completed,False reporting
nuremberg code address experimentation vaccine claim vaccine violate nuremberg code,False reporting
outdated farci video face mask shared context claim dr anthony farci currently advising wearing face mask,False reporting
تراجع مداخيل إذاعة موزايك ب ألف دينار يوميا؟ daily revenue mosaïque fm radio tunisia decreased dinar,False reporting
viral post mislead covids toll health care worker claim meatpacking worker suffered bovid case health care worker,False reporting
legislative history care act doesnt prove bovid conspiracy claim u care act introduced proving bovid planned,Conspiracy
cuidado con la cadena que afirma sin pruebas que el fue liberado el partido comunista chino que e una mezcla de vih tuberculosis chain message spreading false info origin bovid composition virus characteristic,False reporting
rawatan pesakit kanser ditanguhkan kerana faktor lain bukan kerana jangkitan bovid atau hospital tutup claim cancer treatment stopped deal bovid,False reporting
siaran berita daripada astro awani kononya motosikal kuasa besar melebihi ca dibenarkan berkonvoi dream tempoh pkp fasa adalah palsu fake screen capture showing news motorcycle certain specification ca allowed go convoy,False reporting
fact check viral image claim ventura county forcibly remove people test positive bovid home quarantine claim californian forcibly removed home quarantine,False reporting
fact check bovid tracker installed phone without public knowledge phone disruption claim apple google installed bovid tracker onto phone secretly,False reporting
fact check ohsa say cloth mask work reduce oxygen danger level claim ohsa said cloth face mask offer bovid protection dangerously reduce oxygen level,False reporting
estas persona asiáticas están cortando bebé para comérselo fotos que se están relacionando con la comunidad china el brote del nero image chinese people eating baby,False reporting
uno de lot medicamentos para tratar el sí e cubano pero ha curado persona datoscoronavirus cuban treatment cured people china,False reporting
el video falso sobre bovid en ibagué case detected ibagué colombia,False reporting
el error que apuntó al pangolín como posible transmisor de pangolin transmit virus,False reporting
video muestra comercios abiertos en centro comercial de quito en plenum emergencia sanitarium trying spread rumor shopping center city quito still open pandemic,False reporting
gobierno ruso libera tigres leone para que rusos acaten curantena unrelated image used lie argentine public russia using lion tiger enforce quarantine,False reporting
la cura para el e hidroxicloroquina azitromicina asserted cure,Fake remedy
video mock drill bhagalpur central jail shared jail official infected central jail official contracted,False reporting
fake prescription viral name sir gang ram hospital debunked hospital prescription prominent delhi hospital suggested certain measure dealing bovid,Fake remedy
video west bengal shared people disregarding social distancing mumbai bus mumbai bus following social distancing protocol,False reporting
pm mode claim crore patient treated free india pm mode claimed country treated crore bovid patient free,False reporting
old video china shared zee news employee assaulting doctor hospital employee medium channel zee news beating doctor,False reporting
fact check henry kissinger say solution new world order claim henry kissinger want new world order follow bovid,False reporting
fact check bill gate cd drs farci bird silent protest bovid knockdown scam claim silence bum protest prof bovid lowdown scam,Conspiracy
fact check supporting evidence heroin killed people yesterday heroin killed people day bovid,False reporting
fact check medium outlet suggest george floyd protest could cause bovid spike claim medium outlet reported potential spike bovid case related bum protest,False reporting
doc didnt tweet closing business election fake doc tweet keeping business closed make sure trump loses reelection,False reporting
fact check little girl viral photo asking prayer sign picture photoshoped claim little girl viral photo,False reporting
المكسيك رمي جث موتى كورونا في البحر فيديو مضل video claiming show body bovid victim mexico dumped sea,False reporting
cancellation sport club membership quarantine incorrect information claim jordanian sport club cancelling membership due closure,False reporting
هل اتهم بروفيسور ياباني حائز على نوبل الصين بصناعة فيروس كورونا؟ statement attributed nobel laureate dr task hondo describing natural accusing china lying creating virus,Conspiracy
بيان مزوّر حول قرارات تركية بخصوص كورونا والمدعي العام يحق في الأمر document claiming turkish ministry health lay turkey response limit bovid,Conspiracy
blog verbreitet ireführende behauptungen über die angebliche heilkraft chlordioxid claim spread chlorine dioxide proven cure,Fake remedy
impfung gegen bovid sinlos sucharit bhakdi stelt unbelegte behauptungen auf assertion spread seeking vaccine virus futile virus mutates,False reporting
coronamaßnahmen ireführende berichte über angeblich gestiegene suizidzahlen berlin several statistic published allegedly point suicide rate berlin increasing result pandemic,False reporting
hay ningún paciente con en el hospital militar de maracay datoscoronavirus suspect patient military hospital maracay venezuela,False reporting
e falso que milón mil persona estén infectadas datoscoronavirus china record death per day million people quarantined million case,False reporting
falso que hinchas de tigres se infectaron de bovid en fan mexican football team got infected nyx,False reporting
falseta la cuarentena termina el de mayo false end date ecuador quarantine,False reporting
video circulated report since least year bovid pandemic claim video show shopper fleeing store pakistan police discovered flouted lowdown measure,False reporting
photo show food waste australia unrelated bovid pandemic claim photo show wasted tomato sri lanka government failed adequately assist farmer,False reporting
pandemic misinformation circulates antiviral medicine claim fa approved bovid treatment,False reporting
ghana leader falsely claim country front africa bovid testing claim ghana administered bovid test per million people african nation,False reporting
video passed violation social distancing rule saudi arabia violating social distancing measure saudi arabia,False reporting
video bovid ward mumbai key hospital shared delhi bovid ward delhi terrible condition,False reporting
fake claim promising free ₹ lowdown fund viral whatsap government offering r relief fund,False reporting
mumbai key hospital prescribe list bovid drug mumbai key hospital prescribed certain medicine patient,False reporting
old news clip fuel false claim lowdown maharashtra june mumbai would go lowdown june,False reporting
هل تحدث صدام حسين بالفعل عن فيروس كورونا؟ video saddam hussein military advisor ten year ago edited appear though talking,Conspiracy
هذه الصورة قديمة ولا علاقة لها بجائحة كورونا image mother child claiming woman diagnosed bovid child suffering cancer,False reporting
الحقيقة الكاملة لفيديو انتحار ملياردير إيطالي بعد وفاة عائلته بفيروس كورونا video man jumping tall building shared video italian billionaire committing suicide family died,False reporting
قناة العربية تضل متابعيها بمعلومات خاطئة حول مطار أتاتورك video istanbul atatürk airport reported claim runway transformed hospital eliminated airline traffic,False reporting
fact check image claim george floyds death filmed pandemic claim george floyd killed bovid outbreak,False reporting
yes gov news authority make mask mandatory california legal expert say claim california governor news legal authority make mask mandatory,False reporting
대통령 피습 문자 클릭하면 도박사이트로 들어갑니다 bovid patient claim used phishing scam lure people illegal gambling site,False reporting
팩트체크 중국인 감염자 치료 때문에 내 건보료 오른다 fake information spread treatment foreign bovid patient increase cost insurance south korea spread chinese woman treated,False reporting
팩트체크 ② 격리 중 우한 교민 공용세탁실 쓴다 fake information spread wuhan resident quarantining south korea using shared laundry facility,False reporting
팩트체크 청와대가 우한 폐렴 못 쓰게 했다 false news spread south korean government purposefully stopped using wuhan pneumonia order appease chinese government,False reporting
팩트체크 중국 당국이 예방책으로 마늘 꼽았다 허위정보 검증 false message report spread bovid case present ulsan government hiding new case,False reporting
팩트체크 중국 당국이 예방책으로 마늘 꼽았다 허위정보 검증 claim spread due bovid military officer would permitted go leave visit,False reporting
팩트체크 중국 당국이 예방책으로 마늘 꼽았다 허위정보 검증 false news spread people could get bovid package shipped china,False reporting
viral ungahan diagnosis berkode cvd dikira bovid ini penjelasan dokter false claim doctor falsely diagnosed patient bovid,False reporting
buku iqro sudah lama memprediksi terjadinya virus korona ini faktanya guidance read duran said predicted,Conspiracy
benarkah jika merapi meletus abunya akan mematikan virus corona ini penjelasan pakar gunung berapi false claim volcanic ash kill,Fake remedy
中国台办指控台湾卫福部长陈时中疫情造假 指挥官回应诚实透明从未改变 claim taiwan affair office state council china criticized minister chen shillong professional epidemic prevention good hand concealing epidemic,False reporting
hay multitud en bogotá esperando avión de wuhan people waiting plane carrying colombian wuhan,False reporting
queman cadáver en esquinas de tulcán cristóbal colón en guayaquil corps people died bovid burned guayaquil ecuadorian city,False reporting
se ha confirmado caso de bovid en hospital san rafael de bogotá case detected hospital bogotà,False reporting
toque de queda horas en guayaquil city guayaquil going completely shut starting april nd people allowed leave,False reporting
el mono que aparece en esta foto encadenado con agujas está siendo inyectado con para probar una vacuna con monkey injected test vaccine,False reporting
la periodista janet firmó contrato de comunicación para el gobierno lucrative government contract attributed janet,False reporting
cifras del bovid paroquias en pichincha table data reporting false number case disseminated via social medium,False reporting
el bovid se reproduce si se hace gárgaras con sal cuatro veces al día bovid spread gargle four time daily,Fake remedy
pongan todo cargar porque coca code sinclair dejó de trabajar widespread power outage ecuador occurred coca code sinclair dam stopped working,False reporting
holocaust comparison misleading facebok post claim bill gate seek digital tattoo claim bill gate want track people tested bovid digital tattoo,False reporting
video show victim gas leak chemical plant india may claim video show group bovid victim india,False reporting
photo doctored include bovid reference claim billboard message congratulating sri lanka leader eradicating bovid,False reporting
fake zee news graphic claim total lowdown june india go complete lowdown june,False reporting
thane thyrocare lab sealed false positive bovid test testing lab sealed false positive case,False reporting
viral message recommending bovid home kit data health data health issued home kit bovid patient,False reporting
viral message falsely claim coffee cure bovid coffee cure bovid according chinese,Fake remedy
video patient dancing bovid center mumbai people quarantine violating social distancing dancing together,False reporting
冠狀病毒在抵達肺部前會停留在喉嚨四天如果他喝大量的水，並且以溫水加鹽巴或醋來漱口，可以消除病毒」？ claim remains person throat four day drinking salt water vinegar kill virus,Fake remedy
摸寵物、包裹都可能感染武漢肺炎？ claim spread house pet delivery package,False reporting
台男子散布大陆商品可能带新冠病毒谣言，法院判定不罚 taiwanese man claim china product carry,False reporting
journalist targeted papua new guinea amid bovid pandemic nurse strike lack protection papua new guinea police minister bryan kramer claim two journalist trusted report bulk bovid financial aid tranfered hiring medium consultant car,False reporting
fiji resident spread rumor vodka herbal tea cure claim vodka cure,Fake remedy
three appear court posting false information social medium three charged posting false information social medium relation bovid situation fiji,False reporting
waspada hand sanitizer ruqyah alamin albaghdadi yang tidak mendapat kelulusan km hand sanitizers certified health ministry,Fake remedy
dakwan hospital tuanku fauziah mengunakan termometer ke dream mulut ketika prose saringan kesihatan pesakit bovid adalah palsu disinformation hospital using oral thermometer checkpoint hospital entrance,False reporting
mesej bantuan kepada pengiat seni atau pemain industri oleh motac adalah palsu fake message asking personal detail including bank account allegedly apply stimulus package ministry tourism art culture people art industry,False reporting
pakaian terpakai dari pesakit bovid yang meningal dunia dijual murah adalah tidak sahih allegation china selling clothes people dead bovid,False reporting
sebaran senarai kawasan di seluruh negara yang kononya dikategorikan sebagai zon merah dan kuning adalah palsu fake list place malaysia labelled red yellow zone,False reporting
mesej langkah berjagajaga akan berlaku penyebaran virus bovid gelombang ke adalah palsu fake list advise containing medically unverified measure including go sunny day,False reporting
talian hotline yang mengunakan nombor mudah alih untuk setiap daerah jkm negeri pahang adalah palsu fake list phone number department societal welfare,False reporting
waspada ada pihak mengunakan peta sebaran bovid untuk sebar aware fake website spreading aware imposing map showing bovid spread globally,False reporting
terdapat mesyuarat tergempar bagi isytihar darurat kerana bovid adalah palsu fake message emergency national security council meeting discus potentially declaring state emergency country,False reporting
waspada terdapat pihak yang menyamar sebagai agensi mkn jalankan imunisasi bovid people pretending representative health ministry give immunization people house house national security council advise people let people home,False reporting
alcoholbased hand sanitiser catch fire without spark hot car claim alcoholbased hand sanitizers catch fire hot car,False reporting
police warned public face mask doused chemical claim people giving mask doused chemical rob property,Conspiracy
bovid track trace automatically downloaded onto people phone claim n's bovid track trace automatically downloaded onto phone,False reporting
